"url";"titulo_periodico";"h5-index"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+NEUROPATHOLOGICA&btnG=";"Acta Neuropathologica Communications";"65"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+OBSTETRICIA+ET+GYNECOLOGICA+SCANDINAVICA&btnG=";"Acta Obstetricia et Gynecologica Scandinavica";"55"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+ODONTOLOGICA+LATINOAMERICANA&btnG=";"Acta Odontológica Latinoamericana";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+ODONTOL%C3%93GICA+LATINOAMERICANA&btnG=";"Acta Odontológica Latinoamericana";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+ODONTOLOGICA+SCANDINAVICA&btnG=";"Acta Odontologica Scandinavica";"32"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+ONCOLOGICA&btnG=";"Acta Oncologica";"36"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+ORTOP%C3%89DICA+BRASILEIRA&btnG=";"Acta Ortopédica Brasileira";"16"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+PAEDIATRICA&btnG=";"Acta Paediatrica";"58"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+PARASITOLOGICA&btnG=";"Acta Parasitologica";"27"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+PSYCHIATRICA+SCANDINAVICA&btnG=";"Acta Psychiatrica Scandinavica";"54"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+PAULISTA+DE+ENFERMAGEM&btnG=";"Acta Paulista de Enfermagem";"33"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIAE+VETERINARIAE&btnG=";"Acta Scientiae Veterinariae";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+REUMATOL%C3%93GICA+PORTUGUESA&btnG=";"Acta Reumatologica Portuguesa";"11"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIARUM.+BIOLOGICAL+SCIENCES&btnG=";"Acta Scientiarum: Biological Sciences";"12"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIARUM.+BIOLOGICAL+SCIENCES&btnG=";"Acta Scientiarum: Health Sciences";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIARUM.+HUMAN+AND+SOCIAL+SCIENCES&btnG=";"Acta Scientiarum. Human and Social Sciences";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIARUM.+HEALTH+SCIENCES&btnG=";"Acta Scientiarum: Health Sciences";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+SCIENTIARUM.+TECHNOLOGY&btnG=";"Acta Scientiarum. Technology";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+STOMATOLOGICA+CROATICA&btnG=";"Acta Stomatologica Croatica";"20"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+TROPICA&btnG=";"Acta Tropica";"49"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACTA+VETERINARIA+BRASILICA&btnG=";"Acta Veterinaria Brasilica";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACUPUNCTURE+IN+MEDICINE&btnG=";"Acupuncture in Medicine";"25"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ACUPUNCTURE+IN+MEDICINE&btnG=";"Innovations in Acupuncture and Medicine";"16"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"International Journal of Mental Health and Addiction";"88"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction";"79"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addictive Behaviors";"75"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Journal of Behavioral Addictions";"57"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Journal of Addiction Medicine";"45"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction Biology";"45"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Current Addiction Reports";"43"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addictive Behaviors Reports";"40"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Psychology of Addictive Behaviors";"38"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction Research & Theory";"33"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"American Journal on Addictions";"29"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction Science & Clinical Practice";"28"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"European Addiction Research";"26"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Journal of Addictive Diseases";"24"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Health & Addictions/Salud y Drogas";"17"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addicta: The Turkish Journal on Addictions";"16"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction Neuroscience";"16"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Journal of Addictions Nursing";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Journal of Substance Use and Addiction Treatment";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTION&btnG=";"Addiction & Health";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+BEHAVIORS+REPORTS&btnG=";"Addictive Behaviors Reports";"40"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+BEHAVIORS&btnG=";"Addictive Behaviors";"75"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+BEHAVIORS&btnG=";"Journal of Behavioral Addictions";"57"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+BEHAVIORS&btnG=";"Addictive Behaviors Reports";"40"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+BEHAVIORS&btnG=";"Psychology of Addictive Behaviors";"38"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADDICTIVE+DISORDERS+%26+THEIR+TREATMENT&btnG=";"Addictive Disorders & Their Treatment";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADMINISTRA%C3%87%C3%83O+P%C3%9ABLICA+E+GEST%C3%83O+SOCIAL&btnG=";"Administração Pública e Gestão Social";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADMINISTRATION+AND+POLICY+IN+MENTAL+HEALTH&btnG=";"Administration and Policy in Mental Health and Mental Health Services Research";"36"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Advanced Science";"190"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Journal of Advanced Computer Science and Applications";"63"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Journal of Science: Advanced Materials and Devices";"46"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Science and Technology of Advanced Materials";"44"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Reviews on Advanced Materials Science";"32"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Journal of Advanced Research in Fluid Mechanics and Thermal Sciences";"29"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"IEEE International Conference on Data Science and Advanced Analytics (DSAA)";"27"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Advanced Modeling and Simulation in Engineering Sciences";"23"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Journal of Advanced Science and Technology";"22"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Journal of Advanced Trends in Computer Science and Engineering";"18"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Science and Technology of Advanced Materials: Methods";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Conference on Advanced Computer Science and Information Systems";"15"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Journal of Advanced Scientific Research";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Journal of advanced Biomedical and Pharmaceutical Sciences";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Advanced Engineering Science/Gongcheng Kexue Yu Jishu";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Science of Advanced Materials";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Platform for Advanced Scientific Computing Conference";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Journal on Advanced Science, Engineering & Information Technology";"13"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"International Journal on Advanced Science, Education, and Religion";"12"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCED+SCIENCE&btnG=";"Malaysian Journal of Science and Advanced Technology";"11"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+EXPERIMENTAL+MEDICINE+AND+BIOLOGY&btnG=";"Advances in Experimental Medicine and Biology";"90"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INFECTIOUS+DISEASES&btnG=";"Therapeutic Advances in Infectious Disease";"34"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTEGRATIVE+MEDICINE&btnG=";"Advances in Integrative Medicine";"18"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTEGRATIVE+MEDICINE&btnG=";"Global Advances in Integrative Medicine and Health";"10"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTELLIGENT+SYSTEMS+AND+COMPUTING&btnG=";"Advances in Intelligent Systems and Computing (см. в книгах)";"39"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTELLIGENT+SYSTEMS+AND+COMPUTING&btnG=";"ADCAIJ: Advances in Distributed Computing and Artificial Intelligence Journal";"24"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTELLIGENT+SYSTEMS+AND+COMPUTING&btnG=";"International Conference on Advances in Electronics, Communication, Computing and Intelligent Information Systems";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTELLIGENT+SYSTEMS+AND+COMPUTING&btnG=";"International Conference on Advances in Data Engineering and Intelligent Computing Systems";"7"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+INTELLIGENT+SYSTEMS+AND+COMPUTING&btnG=";"International Conference on Advances in Computing, Communication, Electrical, and Smart Systems";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Advances in Health Sciences Education";"44"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Advances in Medical Sciences";"26"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Progress in Community Health Partnerships: Research, Education, and Action";"14"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"International Conference on Advances in Modern Age Technologies for Health and Engineering Science";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Journal of Advances in Environmental Health Research";"9"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Progress in Health Sciences";"6"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Technological Advances in Science, Medicine and Engineering Conference";"5"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Advances in Clinical Medical Research and Healthcare Delivery";"4"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Journal of Advances in Medical & Biomedical Research";"3"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+MEDICAL+SCIENCES&btnG=";"Journal of Advanced Trends in Medical Research";"1"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+NUTRITION&btnG=";"Advances in Nutrition";"86"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+NUTRITION&btnG=";"Current Developments in Nutrition";"47"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+NUTRITION&btnG=";"Advances in Food and Nutrition Research";"34"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+NUTRITION&btnG=";"Progress in Nutrition";"21"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+NURSING+SCIENCE&btnG=";"Advances in Nursing Science";"23"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+PHYSIOLOGY+EDUCATION&btnG=";"Advances in Physiology Education";"33"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+RHEUMATOLOGY&btnG=";"Rheumatology Advances in Practice";"25"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+RHEUMATOLOGY&btnG=";"Advances in Rheumatology";"24"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+SKIN+%26+WOUND+CARE&btnG=";"Advances in Skin & Wound Care";"30"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Advances in Therapy";"72"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Medical Oncology";"52"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Gastroenterology";"48"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Neurological Disorders";"41"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Musculoskeletal Disease";"38"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Chronic Disease";"37"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Psychopharmacology";"36"
"https://scholar.google.com.br/citations?hl=en&view_op=search_venues&vq=ADVANCES+IN+THERAPY&btnG=";"Therapeutic Advances in Endocrinology and Metabolism";"35"
